seed,strategy,algo,learning_hits,learning_obs,deployment_hits,deployment_obs
9,prob,tree,42,468,46,148
9,prob-sq,tree,65,468,14,125
9,active,tree,37,468,17,153
9,active-interquartile,tree,22,468,0,168
9,active-semigreedy,tree,21,468,40,169
9,active-greedy,tree,47,375,0,143
9,active-prob,tree,32,468,33,158
10,random,glm,15,468,27,175
10,greedy,glm,76,468,12,114
10,prob,glm,26,468,29,164
10,prob-sq,glm,38,468,28,152
10,active,glm,34,468,27,156
10,active-interquartile,glm,26,468,27,164
10,active-semigreedy,glm,17,468,20,173
10,active-greedy,glm,71,439,13,119
10,active-prob,glm,18,468,26,172
10,random,tree,16,468,0,174
10,greedy,tree,18,468,0,172
10,prob,tree,39,468,14,151
10,prob-sq,tree,39,468,15,151
10,active,tree,12,468,0,178
10,active-interquartile,tree,15,468,0,175
10,active-semigreedy,tree,12,468,0,178
10,active-greedy,tree,16,468,5,174
10,active-prob,tree,26,468,22,164
11,random,glm,18,468,5,172
11,greedy,glm,35,468,11,155
11,prob,glm,19,468,9,171
11,prob-sq,glm,26,468,5,164
11,active,glm,14,468,8,176
11,active-interquartile,glm,16,468,15,174
11,active-semigreedy,glm,22,468,3,168
11,active-greedy,glm,19,468,16,171
11,active-prob,glm,19,468,5,171
11,random,tree,17,468,1,173
11,greedy,tree,10,468,5,180
11,prob,tree,23,468,5,167
11,prob-sq,tree,20,468,2,170
11,active,tree,12,468,0,178
11,active-interquartile,tree,22,468,2,168
11,active-semigreedy,tree,23,468,13,167
11,active-greedy,tree,10,464,3,180
11,active-prob,tree,15,468,6,175
12,random,glm,17,468,28,173
12,greedy,glm,54,468,3,136
12,prob,glm,21,468,25,169
12,prob-sq,glm,26,468,25,164
12,active,glm,19,468,26,171
12,active-interquartile,glm,23,468,26,167
12,active-semigreedy,glm,20,468,25,170
12,active-greedy,glm,46,464,12,144
12,active-prob,glm,19,468,26,171
12,random,tree,20,468,3,170
12,greedy,tree,12,468,5,178
12,prob,tree,25,468,12,165
12,prob-sq,tree,30,468,4,160
12,active,tree,12,468,0,178
12,active-interquartile,tree,26,468,0,164
12,active-semigreedy,tree,21,468,0,169
12,active-greedy,tree,11,444,4,179
12,active-prob,tree,20,468,9,170
13,random,glm,23,468,9,167
13,greedy,glm,36,468,2,154
13,prob,glm,23,468,13,167
13,prob-sq,glm,18,468,17,172
13,active,glm,19,468,16,171
13,active-interquartile,glm,21,468,16,169
13,active-semigreedy,glm,13,468,15,177
13,active-greedy,glm,32,468,5,158
13,active-prob,glm,19,468,12,171
13,random,tree,17,468,6,173
13,greedy,tree,12,468,6,178
13,prob,tree,28,468,4,162
13,prob-sq,tree,20,468,6,170
13,active,tree,10,468,0,180
13,active-interquartile,tree,18,468,8,172
13,active-semigreedy,tree,15,468,7,175
13,active-greedy,tree,11,464,0,179
13,active-prob,tree,26,468,1,164
14,random,glm,14,468,22,176
14,greedy,glm,52,468,9,138
14,prob,glm,22,468,23,168
14,prob-sq,glm,19,468,20,171
14,active,glm,17,468,15,173
14,active-interquartile,glm,20,468,20,170
